id_2	invicta_1985	invicta_1995	invicta_2005	invicta_2015	invicta_2023	nf_veg_1985	area_veg_1985	nf_veg_1995	area_veg_1995	nf_veg_2005	area_veg_2005	nf_veg_2015	area_veg_2015	nf_veg_2022	area_veg_2022	nf_urb_1985	area_urb_1985	nf_urb_1995	area_urb_1995	nf_urb_2005	area_urb_2005	nf_urb_2015	area_urb_2015	nf_urb_2022	area_urb_2022
1844	0	0	0	0	0	236	32000656	238	19846979	138	10273882	128	14386605	148	15688803	3	11968	0	0	1	9404	1	8549	3	69251
1845	0	0	0	0	0	440	21504872	325	23590292	287	23439329	303	24094680	293	24454372	123	409886	107	535144	91	195137	74	371527	73	457592
1875	0	0	0	0	0	3	9261209	13	8661204	22	8644275	11	8798510	7	8583653	0	0	1	32094	1	41009	3	40118	3	45467
1888	0	0	0	0	0	4	14868	0	0	1	6122	2	12244	3	15743	0	0	0	0	0	0	0	0	0	0
1889	0	0	0	0	0	168	51545116	114	53759842	174	48772668	178	51029355	195	52351420	0	0	2	27927	4	110834	3	195484	2	243482
1939	0	0	0	0	0	49	1101463	33	161968	38	617219	36	386963	53	447366	0	0	0	0	0	0	0	0	0	0
2032	0	0	0	0	0	0	0	0	0	0	0	1	890	1	890	12	76576	0	0	1	4452	2	12466	3	10685
2041	0	0	0	0	0	155	3427513	87	888739	58	852693	133	2221386	113	3307840	0	0	0	0	0	0	0	0	0	0
2042	0	0	0	0	1	154	4620495	140	4380958	116	4330053	141	3501740	140	3449960	171	1344897	191	2259110	207	3061016	328	4773656	391	6929316
2093	0	0	0	0	0	94	1582958	78	2117085	69	1914679	80	1774783	163	3479904	3	20240	3	24638	1	16721	2	26401	7	67759
2142	1	1	1	1	1	44	710466	2	37114	4	15905	9	35347	11	91900	1	16790	1	7069	9	144050	3	29162	11	91024
2196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2533742	4	2928703	4	2938400	4	2933992	4	2941045
2241	0	0	0	0	0	82	6500357	80	7376492	53	7380052	52	7508135	70	7662018	151	27700882	42	33809893	46	35165480	39	36240874	35	36437451
2243	0	0	0	0	0	266	4445295	116	2038480	113	2107711	131	2571848	127	2214222	7	100288	5	23076	4	55025	2	15088	101	938036
2244	0	0	0	0	0	801	19741771	134	3445922	41	2659700	58	2622492	114	3514117	9	185241	7	561043	6	1181472	11	1528912	14	2060713
2245	1	1	1	1	1	460	17401125	191	8641616	160	9724953	180	10842849	211	12363410	0	0	0	0	5	92932	5	157543	3	318621
