id_hex	decada	ocorrência
2032	1985	0
916	1985	3
1888	1985	1
2142	1985	1
670	1985	10
1277	1985	0
1072	1985	0
824	1985	4
1594	1985	5
809	1985	1
1939	1985	0
1796	1985	0
918	1985	2
1372	1985	0
1426	1985	2
1381	1985	6
865	1985	8
407	1985	0
396	1985	0
291	1985	0
1378	1985	0
1074	1985	9
2243	1985	1
1628	1985	0
604	1985	1
762	1985	1
862	1985	11
971	1985	0
449	1985	0
705	1985	1
811	1985	3
1744	1985	0
2041	1985	0
2042	1985	0
502	1985	1
2093	1985	0
1587	1985	7
2244	1985	0
709	1985	0
606	1985	0
1334	1985	0
619	1985	0
400	1985	0
450	1985	0
810	1985	14
1837	1985	0
654	1985	0
655	1985	2
1073	1985	4
1730	1985	1
1330	1985	0
1279	1985	1
970	1985	3
1177	1985	1
345	1985	3
1071	1985	0
963	1985	1
863	1985	6
409	1985	0
759	1985	1
1592	1985	1
1737	1985	0
2241	1985	0
763	1985	0
459	1985	7
1373	1985	0
1875	1985	0
1281	1985	2
292	1985	1
1227	1985	1
1788	1985	0
241	1985	0
1742	1985	0
608	1985	1
509	1985	0
1789	1985	0
1021	1985	10
1023	1985	0
1795	1985	0
1691	1985	2
1280	1985	1
242	1985	0
1743	1985	2
1435	1985	2
765	1985	1
818	1985	1
344	1985	0
1383	1985	0
455	1985	0
2245	1985	1
812	1985	0
1635	1985	1
1333	1985	6
1228	1985	1
1176	1985	0
814	1985	0
507	1985	0
1488	1985	1
406	1985	2
1125	1985	2
350	1985	1
510	1985	0
924	1985	5
1844	1985	0
1745	1985	3
562	1985	3
1231	1985	33
508	1985	0
758	1985	1
1693	1985	2
766	1985	0
1692	1985	0
560	1985	0
457	1985	0
1685	1985	0
770	1985	0
1431	1985	0
1283	1985	24
1584	1985	9
1791	1985	0
659	1985	9
821	1985	3
713	1985	1
553	1985	4
1433	1985	4
721	1985	1
1738	1985	0
1792	1985	0
456	1985	0
974	1985	2
661	1985	0
1486	1985	0
1485	1985	0
1794	1985	1
716	1985	2
1845	1985	0
1282	1985	0
1786	1985	0
1634	1985	0
720	1985	1
1535	1985	0
1230	1985	5
405	1985	0
714	1985	1
1124	1985	0
454	1985	0
665	1985	0
819	1985	5
1126	1985	8
875	1985	0
1179	1985	2
561	1985	9
764	1985	0
1842	1985	0
1075	1985	17
1127	1985	54
1538	1985	0
870	1985	9
1436	1985	2
973	1985	1
1736	1985	0
1024	1985	4
823	1985	0
718	1985	0
1385	1985	3
1536	1985	0
1541	1985	1
1490	1985	9
616	1985	0
1178	1985	1
1229	1985	5
925	1985	4
612	1985	0
662	1985	0
669	1985	17
1489	1985	3
565	1985	0
972	1985	0
1637	1985	4
1686	1985	1
1838	1985	0
772	1985	0
874	1985	2
1840	1985	0
611	1985	2
668	1985	0
923	1985	1
1694	1985	0
1841	1985	0
817	1985	2
1787	1985	0
349	1985	1
1889	1985	0
559	1985	0
872	1985	0
926	1985	0
1386	1985	1
664	1985	0
1839	1985	0
773	1985	1
920	1985	7
873	1985	11
1437	1985	6
922	1985	0
921	1985	1
569	1985	2
774	1985	0
1578	1985	0
1629	1985	0
1644	1985	0
2196	1985	0
2032	1995	0
916	1995	3
1888	1995	1
2142	1995	1
670	1995	10
1277	1995	0
1072	1995	0
824	1995	4
1594	1995	5
809	1995	1
1939	1995	1
1796	1995	3
918	1995	3
1372	1995	0
1426	1995	2
1381	1995	7
865	1995	8
407	1995	0
396	1995	0
291	1995	1
1378	1995	0
1074	1995	10
2243	1995	3
1628	1995	0
604	1995	1
762	1995	1
862	1995	11
971	1995	2
449	1995	2
705	1995	1
811	1995	3
1744	1995	2
2041	1995	0
2042	1995	2
502	1995	1
2093	1995	0
1587	1995	7
2244	1995	0
709	1995	0
606	1995	14
1334	1995	0
619	1995	0
400	1995	0
450	1995	0
810	1995	14
1837	1995	3
654	1995	2
655	1995	2
1073	1995	10
1730	1995	1
1330	1995	0
1279	1995	1
970	1995	8
1177	1995	1
345	1995	3
1071	1995	7
963	1995	1
863	1995	7
409	1995	0
759	1995	1
1592	1995	1
1737	1995	3
2241	1995	1
763	1995	0
459	1995	7
1373	1995	0
1875	1995	0
1281	1995	2
292	1995	2
1227	1995	1
1788	1995	0
241	1995	9
1742	1995	1
608	1995	1
509	1995	0
1789	1995	0
1021	1995	33
1023	1995	0
1795	1995	2
1691	1995	2
1280	1995	1
242	1995	1
1743	1995	2
1435	1995	2
765	1995	3
818	1995	1
344	1995	1
1383	1995	0
455	1995	0
2245	1995	1
812	1995	0
1635	1995	1
1333	1995	9
1228	1995	1
1176	1995	0
814	1995	0
507	1995	0
1488	1995	1
406	1995	2
1125	1995	2
350	1995	5
510	1995	0
924	1995	5
1844	1995	1
1745	1995	4
562	1995	3
1231	1995	40
508	1995	0
758	1995	1
1693	1995	5
766	1995	1
1692	1995	0
560	1995	0
457	1995	0
1685	1995	3
770	1995	0
1431	1995	0
1283	1995	25
1584	1995	9
1791	1995	2
659	1995	9
821	1995	3
713	1995	1
553	1995	5
1433	1995	4
721	1995	1
1738	1995	1
1792	1995	1
456	1995	0
974	1995	5
661	1995	0
1486	1995	8
1485	1995	0
1794	1995	2
716	1995	2
1845	1995	1
1282	1995	0
1786	1995	1
1634	1995	4
720	1995	1
1535	1995	0
1230	1995	5
405	1995	0
714	1995	1
1124	1995	4
454	1995	0
665	1995	0
819	1995	5
1126	1995	8
875	1995	0
1179	1995	2
561	1995	9
764	1995	0
1842	1995	1
1075	1995	22
1127	1995	59
1538	1995	0
870	1995	9
1436	1995	2
973	1995	6
1736	1995	6
1024	1995	4
823	1995	0
718	1995	0
1385	1995	3
1536	1995	0
1541	1995	1
1490	1995	12
616	1995	0
1178	1995	1
1229	1995	8
925	1995	10
612	1995	0
662	1995	0
669	1995	17
1489	1995	3
565	1995	0
972	1995	3
1637	1995	4
1686	1995	1
1838	1995	1
772	1995	0
874	1995	2
1840	1995	30
611	1995	2
668	1995	9
923	1995	1
